campaign_id,scenario,method,report,edp_count,week_count,report_type,truth_union,estimated_union,union_relative_error,signed_union_error,population_bound_excess,mean_marginal_relative_error,pair_intersection_error,three_way_intersection_error,four_plus_intersection_error,stable_key_fragmentation,cross_edp_email_fragmentation,mean_vids_per_true_person,mean_day_dial,day_dial_churn,first_available_day,state_entries,pool_count,requires_ordered_days,notes
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,weeks_1_12__5_edps,5,12,prefix,17620,17084,0.030419977298524404,-0.030419977298524404,0.0,0.134761222019781,0.23351368443242104,0.30666666666666664,0.3621560920830994,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,weeks_7_13__5_edps,5,7,interval,17188,16369,0.04764952292296951,-0.04764952292296951,0.0,0.11427612799617512,0.207217629299399,0.27267430569042533,0.32632743362831856,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,all_weeks__5_edps,5,13,prefix,17804,17319,0.02724106942260166,-0.02724106942260166,0.0,0.15123689540852006,0.26250942192845134,0.3464035734020998,0.4129461430216195,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,noncontiguous__5_edps,5,6,noncontiguous,15212,14516,0.045753352616355505,-0.045753352616355505,0.0,0.08206920164448014,0.13159929313010824,0.14496990541702492,0.14931237721021612,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,weeks_1_3__10_edps,10,3,prefix,10863,10765,0.009021448955168923,-0.009021448955168923,0.0,0.018873181387498075,0.10638626874903355,0.2656755009696186,0.9533898305084746,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,weeks_1_12__10_edps,10,12,prefix,17994,17955,0.0021673891297099034,-0.0021673891297099034,0.0,0.1135221195099213,0.21057795049832498,0.29418151092072037,0.41629469428961224,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,context_and_scale_only_pool,all_weeks__10_edps,10,13,prefix,17999,17982,0.0009444969164953609,-0.0009444969164953609,0.0,0.1314182338944916,0.24072983007416135,0.3327378089701695,0.4692650910926039,0.0,0.0,4.939107728207123,0.03650118467270546,0.018594902593681354,0,88909,2,True,"Ordered 1:1 map uses objective, audience strategy, and scale but no observed Reference-ID overlap."
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_3__2_edps,2,3,prefix,1155,1146,0.007792207792207792,-0.007792207792207792,0.0,0.009669953484140252,0.08823529411764706,0.0,0.0,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_1_12__2_edps,2,12,prefix,14373,12947,0.0992138036596396,-0.0992138036596396,0.0,0.12513418760320622,0.1949789261498992,0.0,0.0,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
eval_broad_awareness_control_0,broad_awareness_control,provider_blended_ordered_pool,weeks_5_12__2_edps,2,8,interval,13910,12554,0.09748382458662833,-0.09748382458662833,0.0,0.12026977424488082,0.18724448078495504,0.0,0.0,0.0,0.0,4.939107728207123,0.03245494469915,0.01758675409530897,0,88909,2,True,Ordered 1:1 map blends the campaign-context prior with cumulative observed matching.
