campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_video_engagement_retargeting_1,video_engagement_retargeting,6,same_day,full,0.41562499999999997,0.4857000518258723,0.07007505182587231
train_video_engagement_retargeting_1,video_engagement_retargeting,6,cumulative,full,0.5343749999999999,0.5703670053960963,0.03599200539609637
train_video_engagement_retargeting_1,video_engagement_retargeting,9,same_day,full,0.475,0.5215635227806402,0.04656352278064024
train_video_engagement_retargeting_1,video_engagement_retargeting,9,cumulative,full,0.59375,0.6008684042516417,0.0071184042516416746
train_video_engagement_retargeting_1,video_engagement_retargeting,13,same_day,full,0.475,0.45325434709325674,0.02174565290674324
train_video_engagement_retargeting_1,video_engagement_retargeting,13,cumulative,full,0.653125,0.6296512124395939,0.02347378756040608
train_lead_generation_0,lead_generation,1,same_day,full,0.5343749999999999,0.5294743042453477,0.00490069575465224
train_lead_generation_0,lead_generation,1,cumulative,full,0.5343749999999999,0.5294743042453477,0.00490069575465224
train_lead_generation_0,lead_generation,3,same_day,full,0.35624999999999996,0.5393384058282339,0.18308840582823394
train_lead_generation_0,lead_generation,3,cumulative,full,0.59375,0.6101346746559162,0.016384674655916198
train_lead_generation_0,lead_generation,6,same_day,full,0.653125,0.45935896419745326,0.1937660358025467
train_lead_generation_0,lead_generation,6,cumulative,full,0.653125,0.591367188846361,0.061757811153638986
train_lead_generation_0,lead_generation,9,same_day,full,0.5343749999999999,0.5012398635698387,0.033135136430161194
train_lead_generation_0,lead_generation,9,cumulative,full,0.7124999999999999,0.6367298333252254,0.07577016667477454
train_lead_generation_0,lead_generation,13,same_day,full,0.5343749999999999,0.5079965968437391,0.026378403156260832
train_lead_generation_0,lead_generation,13,cumulative,full,0.7124999999999999,0.6608591240345979,0.05164087596540201
train_lead_generation_1,lead_generation,1,same_day,full,0.7124999999999999,0.49793296176429047,0.21456703823570944
train_lead_generation_1,lead_generation,1,cumulative,full,0.7124999999999999,0.49793296176429047,0.21456703823570944
train_lead_generation_1,lead_generation,3,same_day,full,0.5343749999999999,0.44872434522529303,0.0856506547747069
train_lead_generation_1,lead_generation,3,cumulative,full,0.5343749999999999,0.5515193471852459,0.017144347185245934
train_lead_generation_1,lead_generation,6,same_day,full,0.5343749999999999,0.48745979431589287,0.046915205684107064
train_lead_generation_1,lead_generation,6,cumulative,full,0.59375,0.5643301759262359,0.02941982407376409
train_lead_generation_1,lead_generation,9,same_day,full,0.35624999999999996,0.45933676226215997,0.10308676226216001
train_lead_generation_1,lead_generation,9,cumulative,full,0.59375,0.5965745193135783,0.0028245193135782998
train_lead_generation_1,lead_generation,13,same_day,full,0.5343749999999999,0.539149833321171,0.0047748333211710126
train_lead_generation_1,lead_generation,13,cumulative,full,0.653125,0.6586533671443152,0.0055283671443152604
train_sales_prospecting_0,sales_prospecting,1,same_day,full,0.5343749999999999,0.45738586312762264,0.0769891368723773
train_sales_prospecting_0,sales_prospecting,1,cumulative,full,0.5343749999999999,0.45738586312762264,0.0769891368723773
train_sales_prospecting_0,sales_prospecting,3,same_day,full,0.475,0.47698209350716225,0.0019820935071622747
train_sales_prospecting_0,sales_prospecting,3,cumulative,full,0.475,0.5170164321542052,0.04201643215420525
train_sales_prospecting_0,sales_prospecting,6,same_day,full,0.475,0.46460193343956757,0.010398066560432406
train_sales_prospecting_0,sales_prospecting,6,cumulative,full,0.5343749999999999,0.5657342381288586,0.03135923812885866
train_sales_prospecting_0,sales_prospecting,9,same_day,full,0.41562499999999997,0.4605644783267573,0.04493947832675732
train_sales_prospecting_0,sales_prospecting,9,cumulative,full,0.59375,0.5783092997026376,0.015440700297362442
train_sales_prospecting_0,sales_prospecting,13,same_day,full,0.35624999999999996,0.42776296453823737,0.07151296453823741
train_sales_prospecting_0,sales_prospecting,13,cumulative,full,0.59375,0.5876386449206055,0.0061113550793945315
