campaign_id,scenario,method,day,dial
eval_broad_awareness_control_0,broad_awareness_control,fixed_marginal_overlap_atlas,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,fixed_marginal_overlap_atlas,11,0.0026041463849961755
eval_broad_awareness_control_0,broad_awareness_control,fixed_marginal_overlap_atlas,12,0.02992880696904654
eval_broad_awareness_control_0,broad_awareness_control,fixed_marginal_overlap_atlas,13,0.020525746575922432
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,2,0.01522406406373733
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,3,0.04758575316962224
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,4,0.055783393252795035
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,5,0.034865236242733855
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,6,0.019548254135812265
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,7,0.02568290464743833
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,8,0.018895993261777377
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,9,0.0015147426052402047
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,11,0.0026041463849961755
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,12,0.02992880696904654
eval_broad_awareness_control_0,broad_awareness_control,pair_targeted_fixed_marginal_atlas,13,0.020525746575922432
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,10,0.028521739526285894
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,11,0.017365862483710692
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,same_day_adaptive_pool,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,11,0.03326943572042729
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,12,0.14446470176283582
eval_broad_awareness_control_0,broad_awareness_control,cumulative_adaptive_pool,13,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,quantized_hysteresis_pool,13,0.1
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,11,0.03326943572042729
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,12,0.14446470176283582
eval_broad_awareness_control_0,broad_awareness_control,sticky_first_seen_pool,13,0.2011428638869605
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,ordered_memoized_rank_lattice,13,0.1
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,cohort_3_week_rank_lattice,8,0.0
