portfolio,scope,method,report,truth_union,estimated_union,union_relative_error,signed_union_error,state_entries
broad_awareness_control+crm_customer_list,combined,shared_map_campaign_specific_reverse,full_10_edps,17999,17994,0.0002777932107339297,-0.0002777932107339297,87524
broad_awareness_control+crm_customer_list,combined,shared_map_global_daily_state,full_10_edps,17999,17990,0.0005000277793210734,-0.0005000277793210734,87524
broad_awareness_control+crm_customer_list,combined,campaign_local_maps,full_10_edps,17999,17994,0.0002777932107339297,-0.0002777932107339297,90194
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_forward,full_10_edps,17999,17994,0.0002777932107339297,-0.0002777932107339297,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_campaign_specific_reverse,full_10_edps,17999,17994,0.0002777932107339297,-0.0002777932107339297,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,shared_map_global_daily_state,full_10_edps,17999,17990,0.0005000277793210734,-0.0005000277793210734,87524
broad_awareness_control+crm_customer_list,broad_awareness_control,campaign_local_maps,full_10_edps,17999,17994,0.0002777932107339297,-0.0002777932107339297,90194
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_forward,full_10_edps,1407,2629,0.8685145700071073,0.8685145700071073,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_campaign_specific_reverse,full_10_edps,1407,2548,0.8109452736318408,0.8109452736318408,87524
broad_awareness_control+crm_customer_list,crm_customer_list,shared_map_global_daily_state,full_10_edps,1407,3092,1.1975835110163469,1.1975835110163469,87524
broad_awareness_control+crm_customer_list,crm_customer_list,campaign_local_maps,full_10_edps,1407,1985,0.4108031272210377,0.4108031272210377,90194
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_forward,full_2_edps,3915,3601,0.08020434227330779,-0.08020434227330779,14742
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_reverse,full_2_edps,3915,3602,0.07994891443167305,-0.07994891443167305,14742
website_retargeting+app_activity_retargeting,combined,shared_map_global_daily_state,full_2_edps,3915,3575,0.08684546615581099,-0.08684546615581099,14742
website_retargeting+app_activity_retargeting,combined,campaign_local_maps,full_2_edps,3915,3604,0.07943805874840358,-0.07943805874840358,15198
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_forward,full_2_edps,1772,1866,0.05304740406320542,0.05304740406320542,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_reverse,full_2_edps,1772,1866,0.05304740406320542,0.05304740406320542,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_global_daily_state,full_2_edps,1772,1880,0.060948081264108354,0.060948081264108354,14742
website_retargeting+app_activity_retargeting,website_retargeting,campaign_local_maps,full_2_edps,1772,1863,0.051354401805869074,0.051354401805869074,15198
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_forward,full_2_edps,2344,2302,0.017918088737201365,-0.017918088737201365,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_reverse,full_2_edps,2344,2303,0.01749146757679181,-0.01749146757679181,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_global_daily_state,full_2_edps,2344,2243,0.04308873720136519,-0.04308873720136519,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,campaign_local_maps,full_2_edps,2344,2305,0.016638225255972697,-0.016638225255972697,15198
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_forward,weeks_5_12_5_edps,4297,4203,0.021875727251570862,-0.021875727251570862,14742
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,4297,4205,0.021410286246218293,-0.021410286246218293,14742
website_retargeting+app_activity_retargeting,combined,shared_map_global_daily_state,weeks_5_12_5_edps,4297,4148,0.03467535489876658,-0.03467535489876658,14742
website_retargeting+app_activity_retargeting,combined,campaign_local_maps,weeks_5_12_5_edps,4297,4206,0.021177565743542005,-0.021177565743542005,15198
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_forward,weeks_5_12_5_edps,1832,2039,0.11299126637554585,0.11299126637554585,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,1832,2040,0.11353711790393013,0.11353711790393013,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_global_daily_state,weeks_5_12_5_edps,1832,2095,0.1435589519650655,0.1435589519650655,14742
website_retargeting+app_activity_retargeting,website_retargeting,campaign_local_maps,weeks_5_12_5_edps,1832,2033,0.10971615720524018,0.10971615720524018,15198
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_forward,weeks_5_12_5_edps,2711,2914,0.0748801180376245,0.0748801180376245,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_reverse,weeks_5_12_5_edps,2711,2915,0.07524898561416452,0.07524898561416452,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_global_daily_state,weeks_5_12_5_edps,2711,2795,0.03098487642936186,0.03098487642936186,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,campaign_local_maps,weeks_5_12_5_edps,2711,2919,0.0767244559203246,0.0767244559203246,15198
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_forward,full_5_edps,4735,4840,0.022175290390707498,0.022175290390707498,14742
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_reverse,full_5_edps,4735,4842,0.02259767687434002,0.02259767687434002,14742
website_retargeting+app_activity_retargeting,combined,shared_map_global_daily_state,full_5_edps,4735,4794,0.01246040126715945,0.01246040126715945,14742
website_retargeting+app_activity_retargeting,combined,campaign_local_maps,full_5_edps,4735,4846,0.023442449841605068,0.023442449841605068,15198
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_forward,full_5_edps,2128,2472,0.16165413533834586,0.16165413533834586,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_campaign_specific_reverse,full_5_edps,2128,2474,0.162593984962406,0.162593984962406,14742
website_retargeting+app_activity_retargeting,website_retargeting,shared_map_global_daily_state,full_5_edps,2128,2595,0.21945488721804512,0.21945488721804512,14742
website_retargeting+app_activity_retargeting,website_retargeting,campaign_local_maps,full_5_edps,2128,2460,0.15601503759398497,0.15601503759398497,15198
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_forward,full_5_edps,2915,3266,0.12041166380789023,0.12041166380789023,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_campaign_specific_reverse,full_5_edps,2915,3268,0.12109777015437392,0.12109777015437392,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,shared_map_global_daily_state,full_5_edps,2915,3096,0.0620926243567753,0.0620926243567753,14742
website_retargeting+app_activity_retargeting,app_activity_retargeting,campaign_local_maps,full_5_edps,2915,3272,0.12246998284734134,0.12246998284734134,15198
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_forward,full_10_edps,4881,5439,0.11432083589428396,0.11432083589428396,14742
website_retargeting+app_activity_retargeting,combined,shared_map_campaign_specific_reverse,full_10_edps,4881,5442,0.11493546404425323,0.11493546404425323,14742
website_retargeting+app_activity_retargeting,combined,shared_map_global_daily_state,full_10_edps,4881,5395,0.10530628969473468,0.10530628969473468,14742
website_retargeting+app_activity_retargeting,combined,campaign_local_maps,full_10_edps,4881,5448,0.11616472034419176,0.11616472034419176,15198
