scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.05067910279113389
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.004401301217395354
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.01044122600202013
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.010441226002020255
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.0069145617739811574
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.01044122600103454
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,7.105576757433832e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,8.334027835640552e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,8.334027835640552e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,8.333461712460605e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,8.334027551575913e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.0067673983410884075
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.027672779963974187
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.055194730126158824
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.009574277432399459
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.05749596371176967
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.0029745068337082973
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.003932067263448257
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.003932067263448257
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.003663746292841995
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.003932055917321903
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 10 EDPs",10,baseline_vid,Existing VID,2.1715297624592978e-05
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,1.241763432820638e-16
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,3.053569545348485e-09
broad_awareness_control,Broad awareness / reach control,weaker similarity,0.65,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,2.483526865641276e-16
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.023021884311106546
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.028159080136363042
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.06666478038630759
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.007540506458080686
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.06813527288489281
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.012738199383513298
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.022233580373114622
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.02223358037311475
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.0062070618279860285
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.022233580109731678
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.001290334028512916
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0013351134846460706
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,0.0013351134846461949
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,0,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.0013351106126301578
