scenario,scenario_label,campaign,replicate,report,week_count,edp_count,method,method_label,truth_union,estimate,relative_error,signed_error,mean_edp_reach_fraction,reference_full_intersection
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,118790000.0,119999688.58543237,0.010183421040764085,0.010183421040764085,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,two_group_latent_mixture,Two-group mixture,118790000.0,119999999.99999997,0.010186042596177879,0.010186042596177879,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pairwise_maxent_direct,Direct pair + higher-order inference,118790000.0,118805223.00973038,0.00012815059963282898,0.00012815059963282898,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 5 selected EDPs",13,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,118790000.0,119999999.99988158,0.010186042595181247,0.010186042595181247,0.5915666666666667,159998.45769227634
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,baseline_vid,Existing VID,97370000.0,97405826.16945052,0.00036793847643546747,0.00036793847643546747,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,97370000.0,90408568.46283217,0.07149462398241586,-0.07149462398241586,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,two_group_latent_mixture,Two-group mixture,97370000.0,94008333.7092446,0.03452466150513922,-0.03452466150513922,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_direct,Direct pair + higher-order inference,97370000.0,105890485.7688424,0.0875062726593653,0.0875062726593653,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,97370000.0,103927751.67955278,0.06734878997178576,0.06734878997178576,0.28191666666666665,0.9365647492116302
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 10 EDPs",3,10,baseline_vid,Existing VID,64030000.0,65596015.781896256,0.0244575321239459,0.0244575321239459,0.07255,-1.9825965050556575e-20
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 10 EDPs",3,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,64030000.0,63928925.33635164,0.0015785516734087065,-0.0015785516734087065,0.07255,-1.9825965050556575e-20
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 10 EDPs",3,10,two_group_latent_mixture,Two-group mixture,64030000.0,64065762.194306776,0.0005585224786315154,0.0005585224786315154,0.07255,-1.9825965050556575e-20
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 10 EDPs",3,10,pairwise_maxent_direct,Direct pair + higher-order inference,64030000.0,67247527.53544545,0.05025031290715995,0.05025031290715995,0.07255,-1.9825965050556575e-20
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-3, 10 EDPs",3,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,64030000.0,60720873.42489936,0.051680877324701516,-0.051680877324701516,0.07255,-1.9825965050556575e-20
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-12, 10 EDPs",12,10,baseline_vid,Existing VID,119890000.0,119948862.06796387,0.0004909672863780831,0.0004909672863780831,0.5286916666666667,-4.3861246962120307e-10
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-12, 10 EDPs",12,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,119890000.0,119999999.99999999,0.0009175077154056643,0.0009175077154056643,0.5286916666666667,-4.3861246962120307e-10
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-12, 10 EDPs",12,10,two_group_latent_mixture,Two-group mixture,119890000.0,119999999.99999997,0.0009175077154055401,0.0009175077154055401,0.5286916666666667,-4.3861246962120307e-10
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-12, 10 EDPs",12,10,pairwise_maxent_direct,Direct pair + higher-order inference,119890000.0,119984846.42937343,0.000791112097534642,0.000791112097534642,0.5286916666666667,-4.3861246962120307e-10
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"weeks 1-12, 10 EDPs",12,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,119890000.0,119956114.55241914,0.0005514601085923841,0.0005514601085923841,0.5286916666666667,-4.3861246962120307e-10
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 10 EDPs",13,10,baseline_vid,Existing VID,119980000.0,119985209.30561079,4.341811644266418e-05,4.341811644266418e-05,0.5777583333333334,-1.0254493256370697e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 10 EDPs",13,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,119980000.0,119999999.99999999,0.0001666944490747216,0.0001666944490747216,0.5777583333333334,-1.0254493256370697e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 10 EDPs",13,10,two_group_latent_mixture,Two-group mixture,119980000.0,119999999.99999999,0.0001666944490747216,0.0001666944490747216,0.5777583333333334,-1.0254493256370697e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 10 EDPs",13,10,pairwise_maxent_direct,Direct pair + higher-order inference,119980000.0,119995722.33624576,0.0001310413089328248,0.0001310413089328248,0.5777583333333334,-1.0254493256370697e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_00,0,"full flight, 10 EDPs",13,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,119980000.0,120000000.0,0.0001666944490748458,0.0001666944490748458,0.5777583333333334,-1.0254493256370697e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 2 EDPs",3,2,baseline_vid,Existing VID,20810000.0,21057715.00000001,0.01190365209034172,0.01190365209034172,0.09195833333333334,660095.7097234983
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 2 EDPs",3,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,20810000.0,21095298.31308271,0.013709673862696295,0.013709673862696295,0.09195833333333334,660095.7097234983
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 2 EDPs",3,2,two_group_latent_mixture,Two-group mixture,20810000.0,20966452.31276399,0.0075181313197495905,0.0075181313197495905,0.09195833333333334,660095.7097234983
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_direct,Direct pair + higher-order inference,20810000.0,20877394.054262266,0.0032385417713726846,0.0032385417713726846,0.09195833333333334,660095.7097234983
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 2 EDPs",3,2,pairwise_maxent_mixture,Mixture pair + higher-order inference,20810000.0,20904109.034374982,0.004522298624458535,0.004522298624458535,0.09195833333333334,660095.7097234983
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 5-12, 2 EDPs",8,2,baseline_vid,Existing VID,88710000.0,88412072.49999999,0.0033584432420247423,-0.0033584432420247423,0.48691666666666666,12439431.241215844
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 5-12, 2 EDPs",8,2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,88710000.0,93250315.56260037,0.05118155295457529,0.05118155295457529,0.48691666666666666,12439431.241215844
