split,scenario,scenario_label,campaign,report,week_count,edp_count,method,method_label,truth_total,estimate_total,runtime_seconds,category,value
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_proportional,Provider total with context + proportional demos,28452000.0,28075455.903086554,0.0001674999948590994,demographic_distribution_error,0.03250306746478659
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_proportional,Provider total with context + proportional demos,28452000.0,28075455.903086554,0.0001674999948590994,demographic_sum_error,1.3268850597907348e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_proportional,Provider total with context + proportional demos,28452000.0,28075455.903086554,0.0001674999948590994,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,total_error,0.013234363029433633
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_reach_error,0.11740321879113273
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_distribution_error,0.05652012126324288
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_sum_error,1.3268850597907348e-16
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_fixed_demo,Provider total + fixed panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_population_violation,0.0
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,total_error,0.013234363029433633
panel_holdout,broad_awareness_control,Broad awareness / reach,panel_holdout_broad_awareness_control_00,weeks_1_3__2_edps,3,2,provider_context_learned_demo,Provider total + contextual panel demo adjustment,28452000.0,28075455.903086554,0.0001674999948590994,demographic_reach_error,0.028819084509827876
