campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_oldest,weeks_5_12__10_edps,interval,10,8,17941,17821,0.006688590379577504
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_oldest,weeks_7_13__10_edps,interval,10,7,17933,17800,0.0074164947303853234
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_oldest,noncontiguous__10_edps,noncontiguous,10,6,17251,17011,0.013912236971769753
venn_broad_awareness_control,broad_awareness_control,cumulative_full_venn_oldest,noncontiguous__2_edps,noncontiguous,2,6,8173,8055,0.014437782943839472
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_3__2_edps,prefix,2,3,3412,3732,0.09378663540445487
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_12__2_edps,prefix,2,12,8450,13142,0.5552662721893491
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_5_12__2_edps,interval,2,8,6163,8117,0.3170533830926497
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_3__5_edps,prefix,5,3,5971,7171,0.2009713615809747
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_12__5_edps,prefix,5,12,12519,26876,1.1468168384056234
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_7_13__5_edps,interval,5,7,9080,13882,0.5288546255506608
venn_traffic_optimization,traffic_optimization,daily_full_venn,all_weeks__5_edps,prefix,5,13,12658,28184,1.2265760783694106
venn_traffic_optimization,traffic_optimization,daily_full_venn,noncontiguous__5_edps,noncontiguous,5,6,8735,12818,0.46742987979393247
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_3__10_edps,prefix,10,3,7369,9336,0.266929027005021
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_1_12__10_edps,prefix,10,12,14229,38749,1.7232412678332982
venn_traffic_optimization,traffic_optimization,daily_full_venn,all_weeks__10_edps,prefix,10,13,14335,40656,1.8361353331008021
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_5_12__10_edps,interval,10,8,12519,25844,1.0643821391484942
venn_traffic_optimization,traffic_optimization,daily_full_venn,weeks_7_13__10_edps,interval,10,7,11185,20261,0.8114438980777827
venn_traffic_optimization,traffic_optimization,daily_full_venn,noncontiguous__10_edps,noncontiguous,10,6,10718,17994,0.6788579958947565
venn_traffic_optimization,traffic_optimization,daily_full_venn,noncontiguous__2_edps,noncontiguous,2,6,5432,6728,0.23858615611192932
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_3__2_edps,prefix,2,3,3412,3412,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_recent,weeks_1_12__2_edps,prefix,2,12,8450,8450,0.0
